opis	przypisanie_zrodlowe	identyfikator_zrodlowy
brzoza	złość	edkob8a
cedr	złość	edkyfg8
dąb	złość	edn2f47
figa	złość	edalozu
głóg	wstręt	ef7fk6c
jabłoń	wstręt	ed05dnv
klon	wstręt	ef6wfio
lipa	wstręt	ef9aoxl
modrzew	strach	edhn69b
olcha	strach	edkguai
sosna	strach	ee1u7av
świerk	strach	edie3y0
topola	radość	ee8z9ge
wiąz	radość	ed53xeo
wierzba	radość	eev7958
cis	radość	eer5h6p
buk	smutek	eeqcpa5
grab	smutek	eeeyg9g
jesion	smutek	ed052gn
jodła	smutek	edcnx7u
jarząb	zaskoczenie	ee09svo
leszczyna	zaskoczenie	edllq1v
platan	zaskoczenie	eeoq2kd
kasztan	zaskoczenie	ef43ubs
